battery_id,cycle_number,cycle_type,ambient_temperature,start_time_raw,capacity,avg_voltage_measured,min_voltage_measured,max_voltage_measured,avg_current_measured,min_current_measured,max_current_measured,avg_temperature_measured,min_temperature_measured,max_temperature_measured,avg_current_load,avg_voltage_load,duration_seconds,num_points_voltage,num_points_current,num_points_temperature,num_points_time,source_file
B0052,1,discharge,4.0,[[2010.       8.      23.      17.      51.       9.218]],0.8606591508342232,3.134533959399899,2.691234036028442,3.83956882325682,-1.8085460674911942,-1.9979778414937188,0.003880862809400138,13.147685384792432,9.069624088614459,16.429874854641657,1.8126076502732245,1.8765573770491801,1713.235,183,183,183,183,data/raw/nasa/5. Battery Data Set/5. BatteryAgingARC_49_50_51_52/B0052.mat
B0052,2,impedance,24.0,[[2.010e+03 8.000e+00 2.300e+01 1.800e+01 2.500e+01 1.828e+00]],,,,,,,,,,,,,,0,0,0,0,data/raw/nasa/5. Battery Data Set/5. BatteryAgingARC_49_50_51_52/B0052.mat
B0052,3,charge,4.0,[[2010.       8.      23.      18.      56.      44.734]],,4.179295805502982,3.685958257563311,4.200312383775429,0.588790567517485,1.1321304199746212e-05,1.5020984769893297,6.568303258592911,4.477983518585157,8.568429647924537,,,10804.016,3785,3785,3785,3785,data/raw/nasa/5. Battery Data Set/5. BatteryAgingARC_49_50_51_52/B0052.mat
B0052,4,impedance,24.0,[[2.0100e+03 8.0000e+00 2.3000e+01 2.2000e+01 1.0000e+00 5.2843e+01]],,,,,,,,,,,,,,0,0,0,0,data/raw/nasa/5. Battery Data Set/5. BatteryAgingARC_49_50_51_52/B0052.mat
B0052,5,discharge,4.0,[[2010.       8.      23.      22.      33.      35.875]],1.4183095114360322,3.3543285492513166,2.694829986819334,4.150553672824585,-1.6188443277128228,-1.9975690832350859,0.0035513340178752323,11.746281905613133,5.6048850827966,16.315701424377302,1.622532537313433,1.8141492537313433,3170.984,335,335,335,335,data/raw/nasa/5. Battery Data Set/5. BatteryAgingARC_49_50_51_52/B0052.mat
B0052,6,charge,4.0,[[2010.       8.      23.      23.      27.      46.437]],,4.180374545885883,3.720796581632682,4.200079095471635,0.521853308629937,-0.0004651059103432773,1.5030180245268463,6.52273237575994,4.458214924800562,8.446212272033781,,,10803.468999999997,3667,3667,3667,3667,data/raw/nasa/5. Battery Data Set/5. BatteryAgingARC_49_50_51_52/B0052.mat
B0052,7,discharge,4.0,[[2.0100e+03 8.0000e+00 2.4000e+01 2.0000e+00 2.8000e+01 5.4312e+01]],1.3707123028693164,3.3958185323324503,2.6969580006046856,4.176524869238658,-1.5816653430049945,-1.99887278060858,0.004463378186989059,11.375626826625542,5.598362446781771,15.689005573106092,1.5853313069908817,1.8093890577507599,3135.344,329,329,329,329,data/raw/nasa/5. Battery Data Set/5. BatteryAgingARC_49_50_51_52/B0052.mat
B0052,8,charge,4.0,[[2010.       8.      24.       3.      22.      29.609]],,4.1812118515531385,3.7337937041156097,4.200043688766528,0.48904497509761075,-0.001751754649692086,1.5037058708153532,6.456468742708297,4.4228547447983235,8.615312528313652,,,10804.172,3583,3583,3583,3583,data/raw/nasa/5. Battery Data Set/5. BatteryAgingARC_49_50_51_52/B0052.mat
B0052,9,discharge,4.0,[[2010.       8.      24.       6.      23.      38.343]],1.3515647352626494,3.3984180977394076,2.697283446718984,4.178983136527925,-1.6050658905122477,-1.9980539993077262,0.004926692294043467,11.242586382966397,4.808830747218545,14.971275763649981,1.6087540880503144,1.8445628930817608,3049.781,318,318,318,318,data/raw/nasa/5. Battery Data Set/5. BatteryAgingARC_49_50_51_52/B0052.mat
B0052,10,charge,4.0,[[2010.       8.      24.       7.      15.      48.281]],,,,,,,,,,,,,1655.547,607,607,607,607,data/raw/nasa/5. Battery Data Set/5. BatteryAgingARC_49_50_51_52/B0052.mat
